language,link,status
Español,https://bxvfe.hrm.clickspikes.com/change-language/es,FAIL
Polish,https://bxvfe.hrm.clickspikes.com/change-language/pl,FAIL
Turkish,https://bxvfe.hrm.clickspikes.com/change-language/tr,FAIL
Russian,https://bxvfe.hrm.clickspikes.com/change-language/ru,FAIL
Italian,https://bxvfe.hrm.clickspikes.com/change-language/it,FAIL
German,https://bxvfe.hrm.clickspikes.com/change-language/de,FAIL
Chinese,https://bxvfe.hrm.clickspikes.com/change-language/zh,FAIL
Portuguese (Brazil),https://bxvfe.hrm.clickspikes.com/change-language/pt-br,FAIL
Japanese,https://bxvfe.hrm.clickspikes.com/change-language/ja,FAIL
Arabic,https://bxvfe.hrm.clickspikes.com/change-language/ar,FAIL
Hebrew,https://bxvfe.hrm.clickspikes.com/change-language/he,FAIL
Danish,https://bxvfe.hrm.clickspikes.com/change-language/da,FAIL
French,https://bxvfe.hrm.clickspikes.com/change-language/fr,FAIL
English,https://bxvfe.hrm.clickspikes.com/change-language/en,FAIL
Dutch,https://bxvfe.hrm.clickspikes.com/change-language/nl,FAIL
Portuguese,https://bxvfe.hrm.clickspikes.com/change-language/pt-br,FAIL
